DEPT,GR,Res,CALI,RHOB
2298,82.455,5.772,8.064,2.61
2298.5,81.891,6.009,7.955,2.63
2299,79.367,6.207,8.018,2.615
2299.5,78.003,6.344,7.973,2.59
2300,76.799,6.6,7.912,2.581
2300.5,75.635,6.717,8.023,2.579
2301,74.951,6.835,8.03,2.587
2301.5,74.788,7.032,7.977,2.585
2302,74.545,7.069,7.896,2.577
2302.5,76.062,7.285,7.959,2.565
2303,77.819,7.985,7.994,2.554
2303.5,78.657,8.385,7.905,2.552
2304,78.853,9.286,7.912,2.562
2304.5,76.689,9.987,7.859,2.56
2305,72.764,12.116,7.878,2.554
2305.5,65.278,13.903,7.981,2.534
2306,62.673,15.068,7.984,2.51
2306.5,59.229,15.948,7.958,2.505
2307,58.586,16.227,7.97,2.492
2307.5,57.701,16.284,7.989,2.484
2308,57.258,16.278,7.979,2.487
2308.5,57.175,16.275,7.955,2.497
2309,58.892,16.493,7.937,2.497
2309.5,60.089,17.092,7.976,2.514
2310,60.287,18.054,7.923,2.523
2310.5,59.762,18.755,7.822,2.54
2311,58.519,19.476,7.929,2.557
2311.5,57.434,20.136,7.964,2.517
2312,57.192,20.796,7.947,2.495
2312.5,56.867,21.496,7.95,2.504
2313,56.385,22.399,7.993,2.514
2313.5,55.62,22.917,7.9,2.49
2314,55.257,23.497,7.931,2.472
2314.5,55.373,24.218,7.998,2.46
2315,53.73,25.18,7.917,2.427
2315.5,51.205,26.323,7.908,2.405
2316,48.561,26.983,7.839,2.42
2316.5,48.438,27.442,7.782,2.443
2317,48.714,27.64,7.732,2.46
2317.5,48.872,24.898,7.835,2.479
2318,48.188,20.485,7.878,2.457
2318.5,48.265,17.281,7.746,2.474
2319,49.182,11.439,7.888,2.511
2319.5,51.539,10.167,7.995,2.566
2320,52.856,8.271,7.954,2.618
2320.5,54.133,8.672,8.037,2.639
2321,58.491,8.355,8.112,2.622
2321.5,62.049,8.197,8.071,2.618
2322,64.527,8.038,8.098,2.585
2322.5,69.045,7.741,8.097,2.55
2323,69.923,8.235,8.052,2.54
2323.5,68.518,9.36,7.959,2.551
2324,65.193,10.762,7.99,2.545
2324.5,59.548,12.481,8.017,2.539
2325,58.425,12.954,7.996,2.52
2325.5,60.102,13.25,8.039,2.5
2326,62.259,14.277,7.982,2.481
2326.5,64.336,15.007,8.024,2.486
2327,66.094,15.916,7.984,2.488
2327.5,67.931,16.508,7.971,2.494
2328,70.009,17.515,7.993,2.506
2328.5,68.245,18.522,7.916,2.5
2329,63.679,18.719,7.851,2.486
2329.5,60.795,17.908,8.002,2.457
2330,59.231,16.703,7.941,2.428
2330.5,59.268,15.102,7.784,2.401
2331,62.026,14.568,7.963,2.442
2331.5,64.823,14.41,8.026,2.533
2332,66.621,14.054,7.993,2.586
2332.5,68.859,13.974,8.032,2.581
2333,68.454,15.653,7.991,2.573
2333.5,65.53,18.576,7.958,2.563
2334,60.045,22.625,7.885,2.528
2334.5,56.36,28.393,8.024,2.475
2335,54.196,40.424,7.919,2.442
2335.5,52.111,45.658,7.758,2.444
2336,50.507,46.112,7.865,2.431
2336.5,50.304,44.61,8,2.425
2337,50.34,42.2,7.915,2.404
2337.5,50.698,38.999,7.801,2.4
2338,50.254,38.109,7.961,2.418
2338.5,49.891,37.338,7.935,2.423
2339,48.406,37.298,7.806,2.418
2339.5,47.163,37.436,7.833,2.405
2340,45.118,37.238,7.8,2.398
2340.5,43.475,37.238,7.759,2.416
2341,41.391,37.928,7.706,2.419
2341.5,40.987,38.955,7.701,2.4
2342,40.664,40.693,7.884,2.402
2342.5,40.26,43.873,8.027,2.421
2343,40.017,45.769,7.986,2.463
2343.5,38.013,48.851,7.865,2.514
2344,36.769,55.152,7.744,2.565
2344.5,36.285,47.063,7.823,2.603
2345,36.162,44.246,8.006,2.642
2345.5,37.919,32.709,8.157,2.679
2346,39.276,23.423,8.092,2.706
2346.5,42.394,18.227,8.011,2.677
2347,46.112,15.975,8.086,2.65
2347.5,49.27,14.888,8.02,2.636
2348,52.348,14.255,7.968,2.608
2348.5,54.425,13.168,8.03,2.58
2349,55.623,11.962,8.033,2.594
2349.5,55.219,11.666,8.013,2.63
2350,51.854,13.068,7.947,2.648
2350.5,50.25,13.66,7.994,2.663
2351,48.126,14.035,7.989,2.651
2351.5,48.363,14.331,8.024,2.664
2352,49.36,14.271,8.035,2.63
2352.5,49.957,13.144,8.018,2.629
2353,50.834,11.959,8.013,2.642
2353.5,53.831,11.01,8.072,2.627
2354,57.109,9.449,8.071,2.609
2354.5,59.467,8.796,8.034,2.604
2355,61.104,8.46,8.013,2.595
2355.5,62.582,7.985,8.028,2.573
2356,64.099,7.807,8.059,2.56
2356.5,63.696,7.728,8.062,2.567
2357,62.532,7.767,8.008,2.569
2357.5,61.808,7.944,7.98,2.576
2358,61.685,8.082,7.979,2.579
2358.5,61.722,8.239,8.026,2.58
2359,62.518,8.357,8.06,2.584
2359.5,63.236,8.436,8.059,2.573
2360,64.152,8.514,8.039,2.565
2360.5,64.669,8.573,8.037,2.584
2361,65.227,8.75,8.064,2.6
2361.5,64.213,8.987,8.003,2.589
2362,62.155,9.836,7.922,2.571
2362.5,59.862,11.534,8.009,2.563
2363,58.515,12.324,8.016,2.562
2363.5,56.654,13.311,7.991,2.569
2364,54.675,14.792,7.99,2.596
2364.5,52.303,16.194,8.037,2.604
2365,50.088,17.814,8.068,2.6
2365.5,48.148,19.038,8.043,2.613
2366,48.104,19.532,8.034,2.611
2366.5,47.82,20.341,8.077,2.63
2367,46.118,21.19,8.048,2.642
2367.5,45.443,22.395,8.003,2.63
2368,45.041,24.212,8.014,2.615
2368.5,44.681,25.712,8.033,2.606
2369,44.203,26.344,8.035,2.591
2369.5,43.091,26.62,7.995,2.603
2370,41.23,26.778,7.877,2.615
2370.5,39.488,27.034,7.848,2.637
2371,38.734,27.33,7.959,2.642
2371.5,40.266,27.725,8.054,2.646
2372,42.665,27.843,8.121,2.612
2372.5,43.763,26.894,8.044,2.581
2373,43.955,24.78,7.931,2.571
2373.5,44.148,23.693,7.842,2.541
2374,44.456,23.672,7.749,2.533
2374.5,44.806,23.435,8.036,2.555
2375,45.076,22.842,7.735,2.576
2375.5,45.7,22.782,7.902,2.541
